customer_id,RECENCY,FREQUENCY,MONETARY,r_score,f_score,m_score,r_rank,f_rank,m_rank,Segmentation
46501,0,41,2970163,0,0.164962825,0.298605948,1,1,2,VIP Customers
16690,2,38,2969450,0.088197026,0.174814126,0.298698885,1,1,2,VIP Customers
9709,12,41,2968150,0.292936803,0.164962825,0.298791822,2,1,2,VIP Customers
29314,56,14,2961340,0.534200743,0.322026022,0.298884758,3,2,2,Potential Customers
16478,577,44,2957626,0.919237918,0.155483271,0.298977695,4,1,2,Potential Customers
45867,1,15,2955176,0.050185874,0.310687732,0.299070632,1,2,2,VIP Customers
46259,21,114,2955080,0.388289963,0.060130112,0.299163569,2,1,2,VIP Customers
2802,43,41,2954055,0.488475836,0.164962825,0.299256506,2,1,2,VIP Customers
57175,56,4,2950000,0.534200743,0.578624535,0.299349442,3,3,2,Lost Customers
36256,7,15,2948382,0.210966543,0.310687732,0.299442379,1,2,2,VIP Customers
28330,64,11,2948000,0.544981413,0.367193309,0.299535316,3,2,2,Potential Customers
45189,76,7,2933000,0.564498141,0.453345725,0.299628253,3,2,2,Potential Customers
51007,14,15,2932434,0.313011152,0.310687732,0.29972119,2,2,2,Loyal Customers
13627,7,20,2932003,0.210966543,0.262453532,0.299814126,1,2,2,VIP Customers
31966,7,18,2930895,0.210966543,0.279739777,0.299907063,1,2,2,VIP Customers
35521,79,6,2930000,0.571096654,0.486431227,0.3,3,2,2,Potential Customers
5114,267,25,2929040,0.738568773,0.22964684,0.300092937,3,1,2,Loyal Customers
257,144,24,2927774,0.657249071,0.234758364,0.300185874,3,1,2,Loyal Customers
2621,16,11,2926626,0.33401487,0.367193309,0.30027881,2,2,2,Loyal Customers
23599,208,6,2922450,0.713011152,0.486431227,0.300371747,3,2,2,Potential Customers
15749,5,21,2918953,0.163754647,0.254275093,0.300464684,1,2,2,VIP Customers
1927,378,29,2916314,0.832342007,0.21133829,0.300557621,4,1,2,Potential Customers
19686,13,27,2914600,0.30232342,0.219330855,0.300650558,2,1,2,VIP Customers
30826,4,24,2913900,0.142750929,0.234758364,0.300743494,1,1,2,VIP Customers
55778,4,23,2907763,0.142750929,0.241728625,0.300836431,1,1,2,VIP Customers
8109,86,6,2907300,0.586802974,0.486431227,0.300929368,3,2,2,Potential Customers
23792,23,24,2907042,0.402881041,0.234758364,0.301022305,2,1,2,VIP Customers
48217,17,16,2906745,0.345167286,0.299814126,0.301115242,2,2,2,Loyal Customers
3578,4,13,2906633,0.142750929,0.335130112,0.301208178,1,2,2,VIP Customers
35404,319,3,2905984,0.763847584,0.647769517,0.301301115,4,3,2,Lost Customers
55530,0,10,2901999,0,0.38429368,0.301394052,1,2,2,VIP Customers
32349,19,12,2900330,0.364405204,0.349907063,0.301486989,2,2,2,Loyal Customers
4092,594,1,2900000,0.923513011,0.823977695,0.301579926,4,4,2,Lost Customers
9592,213,22,2898250,0.714869888,0.247118959,0.301672862,3,1,2,Loyal Customers
27301,134,14,2895896,0.644702602,0.322026022,0.301765799,3,2,2,Potential Customers
28113,127,11,2890278,0.637918216,0.367193309,0.301858736,3,2,2,Potential Customers
20569,21,3,2888350,0.388289963,0.647769517,0.301951673,2,3,2,New Customers
38770,84,8,2887000,0.580947955,0.426858736,0.30204461,3,2,2,Potential Customers
11172,448,6,2886636,0.873234201,0.486431227,0.302137546,4,2,2,Potential Customers
29860,182,25,2883210,0.700836431,0.22964684,0.302230483,3,1,2,Loyal Customers
8867,36,11,2882000,0.466821561,0.367193309,0.30232342,2,2,2,Loyal Customers
9140,8,23,2879910,0.232342007,0.241728625,0.302416357,1,1,2,VIP Customers
2792,24,27,2878763,0.408457249,0.219330855,0.302509294,2,1,2,VIP Customers
46102,48,4,2871917,0.505855019,0.578624535,0.30260223,3,3,2,Lost Customers
21224,5,11,2868995,0.163754647,0.367193309,0.302695167,1,2,2,VIP Customers
5049,4,10,2865750,0.142750929,0.38429368,0.302788104,1,2,2,VIP Customers
3474,11,18,2864470,0.282899628,0.279739777,0.302881041,2,2,2,Loyal Customers
24546,13,27,2862900,0.30232342,0.219330855,0.302973978,2,1,2,VIP Customers
18421,49,11,2859631,0.508921933,0.367193309,0.303066914,3,2,2,Potential Customers
45231,6,21,2858374,0.184572491,0.254275093,0.303159851,1,2,2,VIP Customers
2988,349,16,2857763,0.814869888,0.299814126,0.303252788,4,2,2,Potential Customers
29550,13,20,2856369,0.30232342,0.262453532,0.303345725,2,2,2,Loyal Customers
5588,267,10,2856000,0.738568773,0.38429368,0.303438662,3,2,2,Potential Customers
49656,15,11,2855929,0.323327138,0.367193309,0.303531599,2,2,2,Loyal Customers
9767,65,14,2855920,0.546282528,0.322026022,0.303624535,3,2,2,Potential Customers
13790,63,11,2855743,0.543587361,0.367193309,0.303717472,3,2,2,Potential Customers
44220,68,102,2853280,0.549814126,0.068494424,0.303810409,3,1,2,Loyal Customers
47273,5,22,2850261,0.163754647,0.247118959,0.303903346,1,1,2,VIP Customers
8267,304,28,2843800,0.753717472,0.21598513,0.303996283,4,1,2,Potential Customers
1019,287,24,2843410,0.746561338,0.234758364,0.304089219,3,1,2,Loyal Customers
11216,196,28,2843200,0.706226766,0.21598513,0.304182156,3,1,2,Loyal Customers
3197,120,30,2839850,0.631505576,0.206319703,0.304275093,3,1,2,Loyal Customers
34647,5,8,2839500,0.163754647,0.426858736,0.30436803,1,2,2,VIP Customers
28780,365,6,2836421,0.82527881,0.486431227,0.304460967,4,2,2,Potential Customers
48744,43,12,2836270,0.488475836,0.349907063,0.304553903,2,2,2,Loyal Customers
248,53,13,2834980,0.529089219,0.335130112,0.30464684,3,2,2,Potential Customers
45165,24,17,2831057,0.408457249,0.290334572,0.304739777,2,2,2,Loyal Customers
9694,12,26,2829525,0.292936803,0.225,0.304832714,2,1,2,VIP Customers
4562,517,16,2824229,0.900185874,0.299814126,0.304925651,4,2,2,Potential Customers
49745,7,24,2823530,0.210966543,0.234758364,0.305018587,1,1,2,VIP Customers
34989,306,3,2820243,0.755111524,0.647769517,0.305111524,4,3,2,Lost Customers
2243,548,12,2814040,0.909851301,0.349907063,0.305204461,4,2,2,Potential Customers
8028,247,19,2810400,0.729460967,0.27035316,0.305297398,3,2,2,Potential Customers
14817,81,17,2810000,0.574907063,0.290334572,0.305390335,3,2,2,Potential Customers
32714,10,19,2807520,0.266914498,0.27035316,0.305483271,2,2,2,Loyal Customers
48449,2,17,2805870,0.088197026,0.290334572,0.305576208,1,2,2,VIP Customers
52790,51,27,2803000,0.522490706,0.219330855,0.305669145,3,1,2,Loyal Customers
7425,12,8,2802250,0.292936803,0.426858736,0.305762082,2,2,2,Loyal Customers
8403,397,6,2801400,0.845910781,0.486431227,0.305855019,4,2,2,Potential Customers
40106,22,19,2801000,0.39739777,0.27035316,0.305947955,2,2,2,Loyal Customers
8596,92,16,2800750,0.598884758,0.299814126,0.306040892,3,2,2,Potential Customers
3645,632,6,2800000,0.935966543,0.486431227,0.306133829,4,2,2,Potential Customers
41473,23,8,2800000,0.402881041,0.426858736,0.306133829,2,2,2,Loyal Customers
18774,110,4,2800000,0.619330855,0.578624535,0.306133829,3,3,2,Lost Customers
31990,374,5,2795170,0.830204461,0.528066914,0.306412639,4,3,2,Lost Customers
31795,148,5,2787800,0.664684015,0.528066914,0.306505576,3,3,2,Lost Customers
55045,0,28,2787572,0,0.21598513,0.306598513,1,1,2,VIP Customers
36073,111,11,2787439,0.620167286,0.367193309,0.30669145,3,2,2,Potential Customers
54185,2,44,2786627,0.088197026,0.155483271,0.306784387,1,1,2,VIP Customers
5145,277,34,2785505,0.742286245,0.189776952,0.306877323,3,1,2,Loyal Customers
26538,0,22,2781199,0,0.247118959,0.30697026,1,1,2,VIP Customers
5896,0,32,2779568,0,0.197490706,0.307063197,1,1,2,VIP Customers
37656,11,20,2779233,0.282899628,0.262453532,0.307156134,2,2,2,Loyal Customers
10396,7,15,2779219,0.210966543,0.310687732,0.307249071,1,2,2,VIP Customers
19296,2,50,2769816,0.088197026,0.139405204,0.307342007,1,1,2,VIP Customers
57581,19,7,2769300,0.364405204,0.453345725,0.307434944,2,2,2,Loyal Customers
31489,21,13,2766500,0.388289963,0.335130112,0.307527881,2,2,2,Loyal Customers
2773,222,7,2764492,0.718680297,0.453345725,0.307620818,3,2,2,Potential Customers
51562,2,14,2762017,0.088197026,0.322026022,0.307713755,1,2,2,VIP Customers
44448,18,4,2762000,0.356319703,0.578624535,0.307806691,2,3,2,New Customers
16586,2,31,2758640,0.088197026,0.20204461,0.307899628,1,1,2,VIP Customers
33690,5,11,2756050,0.163754647,0.367193309,0.307992565,1,2,2,VIP Customers
38861,50,24,2754121,0.513104089,0.234758364,0.308085502,3,1,2,Loyal Customers
15901,614,4,2752080,0.929739777,0.578624535,0.308178439,4,3,2,Lost Customers
